순위,종목명,시장,섹터/분야,후보출처,현재가,기본점수,실전점수,과열판정,과열사유,진입판정,백테스트신뢰도,익절계획,손절계획,추세,재무,추천투입금액,상세전략가이드,연속추천일수,최근7회추천횟수,반복추천등급,반복추천메모
1,ACE 미국우주테크액티브,KOSPI/KOSDAQ,금융,NAVER,25950,99,99,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,정상,618750,"후보출처 NAVER, 분야 금융, 점수 99점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",2,2,👀 2회 연속 관찰,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인. 오늘 TOP5권이라 우선순위 높음.
2,KODEX 200타겟위클리커버드콜,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,25795,86,86,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,537500,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 86점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
3,LG헬로비전,KOSPI/KOSDAQ,미디어/콘텐츠,NAVER,2525,98,82,정상,고변동성 ATR 10.2% / 백테스트 거래횟수 부족(2회),조건 확인 후 진입,C,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,정상,612500,"[과열 체크] 고변동성 ATR 10.2% / 백테스트 거래횟수 부족(2회). 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 미디어/콘텐츠, 점수 98점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
4,TIGER LG그룹플러스,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,15140,90,82,정상,고변동성 ATR 11.4%,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,562500,"[과열 체크] 고변동성 ATR 11.4%. 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 AI/소프트웨어, 점수 90점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
5,코칩,KOSPI/KOSDAQ,반도체/전자부품,NAVER,23500,85,77,정상,고변동성 ATR 19.4%,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,정상,531250,"[과열 체크] 고변동성 ATR 19.4%. 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 반도체/전자부품, 점수 85점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",2,2,👀 2회 연속 관찰,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인. 오늘 TOP5권이라 우선순위 높음.
6,라이콤,KOSPI/KOSDAQ,반도체/전자부품,NAVER,5910,80,72,정상,고변동성 ATR 12.9%,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),공격형 통과,정상,500000,"[과열 체크] 고변동성 ATR 12.9%. 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 반도체/전자부품, 점수 80점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",2,2,👀 2회 연속 관찰,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
7,아바텍,KOSPI/KOSDAQ,반도체/전자부품,NAVER,16150,75,67,정상,고변동성 ATR 14.4%,조건 확인 후 진입,B,+10% / +20% / +40% (40%) / (30%) / (30%),-5% / -10% / -15% (50%) / (30%) / (20%),안정형 통과,정상,468750,"[과열 체크] 고변동성 ATR 14.4%. 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 반도체/전자부품, 점수 75점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",2,2,👀 2회 연속 관찰,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
8,TIGER 배당커버드콜액티브,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,25540,67,67,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,418750,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 67점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
9,SK네트웍스,KOSPI/KOSDAQ,도매,NAVER,10900,71,63,정상,고변동성 ATR 15.5%,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,정상,443750,"[과열 체크] 고변동성 ATR 15.5%. 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 도매, 점수 71점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",2,2,👀 2회 연속 관찰,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
10,미래에셋생명,KOSPI/KOSDAQ,보험,NAVER,18590,77,61,정상,고변동성 ATR 9.3% / 백테스트 거래횟수 부족(4회),조건 확인 후 진입,B,+10% / +20% / +30% (50%) / (30%) / (20%),-3% / -5% / -10% (70%) / (20%) / (10%),공격형 통과,재무주의,481250,"[과열 체크] 고변동성 ATR 9.3% / 백테스트 거래횟수 부족(4회). 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 보험, 점수 77점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",2,2,👀 2회 연속 관찰,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
11,후성,KOSPI/KOSDAQ,화학,NAVER,11630,69,61,정상,고변동성 ATR 10.2%,조건 확인 후 진입,B,+5% / +10% / +30% (60%) / (30%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,정상,431250,"[과열 체크] 고변동성 ATR 10.2%. 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 화학, 점수 69점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",2,2,👀 2회 연속 관찰,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
12,TIGER 미국배당다우존스,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,15880,60,60,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,375000,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 60점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
13,KODEX 미국S&P500,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,26280,58,58,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,362500,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 58점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
14,TIGER 미국S&P500,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,28845,57,57,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,356250,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 57점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
15,SOL AI반도체소부장,KOSPI/KOSDAQ,반도체,NAVER,29440,54,54,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,337500,"후보출처 NAVER, 분야 반도체, 점수 54점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",2,2,👀 2회 연속 관찰,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
