주목등급,종목명,종목코드,표시분야,오늘순위,오늘점수,연속추천일수,최근7회추천횟수,최근등장일,평균순위,최고순위,최근등장흐름,후보출처,판정,메모
🔥 강한 지속 후보,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,2,86,4,4,"20260602, 20260604, 20260605, 20260606",7.0,2,0606 #2 → 0606 #10 → 0606 #11 → 0606 #12 → 0606 #12,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
🔥 강한 지속 후보,LG헬로비전,,미디어/콘텐츠,3,98,4,4,"20260602, 20260604, 20260605, 20260606",5.8,3,0606 #3 → 0606 #3 → 0606 #8 → 0606 #9 → 0606 #9,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
🔥 강한 지속 후보,TIGER LG그룹플러스,,AI/소프트웨어,4,90,4,4,"20260602, 20260604, 20260605, 20260606",3.9,2,0606 #4 → 0606 #4 → 0606 #4 → 0606 #5 → 0606 #6,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
🔥 강한 지속 후보,TIGER 배당커버드콜액티브,,AI/소프트웨어,8,67,4,4,"20260602, 20260604, 20260605, 20260606",10.9,8,0606 #11 → 0606 #11 → 0606 #13 → 0606 #14 → 0606 #14,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
🔥 강한 지속 후보,TIGER 미국배당다우존스,,AI/소프트웨어,12,60,4,4,"20260602, 20260604, 20260605, 20260606",6.2,2,0606 #12 → 0606 #12 → 0606 #12 → 0606 #12 → 0606 #12,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
🔥 강한 지속 후보,KODEX 미국S&P500,,AI/소프트웨어,13,58,4,4,"20260602, 20260604, 20260605, 20260606",12.3,11,0606 #13 → 0606 #13 → 0606 #13 → 0606 #13 → 0606 #13,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
🔥 강한 지속 후보,TIGER 미국S&P500,,AI/소프트웨어,14,57,4,4,"20260602, 20260604, 20260605, 20260606",13.8,13,0606 #14 → 0606 #14 → 0606 #14 → 0606 #14 → 0606 #15,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
👀 2회 연속 관찰,ACE 미국우주테크액티브,,금융,1,99,2,2,"20260605, 20260606",1.0,1,0606 #1 → 0606 #1 → 0606 #1 → 0606 #1 → 0606 #1,NAVER,조건 확인 후 진입,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인. 오늘 TOP5권이라 우선순위 높음.
👀 2회 연속 관찰,코칩,,반도체/전자부품,5,85,2,2,"20260605, 20260606",5.0,5,0606 #5 → 0606 #5 → 0606 #5 → 0606 #5 → 0606 #5,NAVER,조건 확인 후 진입,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인. 오늘 TOP5권이라 우선순위 높음.
👀 2회 연속 관찰,라이콤,,반도체/전자부품,6,80,2,2,"20260605, 20260606",6.0,6,0606 #6 → 0606 #6 → 0606 #6 → 0606 #6 → 0606 #6,NAVER,조건 확인 후 진입,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
👀 2회 연속 관찰,아바텍,,반도체/전자부품,7,75,2,2,"20260605, 20260606",7.0,7,0606 #7 → 0606 #7 → 0606 #7 → 0606 #7 → 0606 #7,NAVER,조건 확인 후 진입,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
👀 2회 연속 관찰,SK네트웍스,,도매,9,71,2,2,"20260605, 20260606",8.6,7,0606 #9 → 0606 #9 → 0606 #9 → 0606 #9 → 0606 #9,NAVER,조건 확인 후 진입,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
👀 2회 연속 관찰,미래에셋생명,,보험,10,77,2,2,"20260605, 20260606",10.0,10,0606 #10 → 0606 #10 → 0606 #10 → 0606 #10 → 0606 #10,NAVER,조건 확인 후 진입,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
👀 2회 연속 관찰,후성,,화학,11,69,2,2,"20260605, 20260606",10.8,10,0606 #11 → 0606 #11 → 0606 #11 → 0606 #11 → 0606 #11,NAVER,조건 확인 후 진입,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
👀 2회 연속 관찰,SOL AI반도체소부장,,반도체,15,54,2,2,"20260605, 20260606",15.0,15,0606 #15 → 0606 #15 → 0606 #15 → 0606 #15 → 0606 #15,NAVER,조건 확인 후 진입,이틀 연속 등장. 다음 리포트에서도 유지되는지 확인.
