rank,stock_name,stock_code,market,sector,source,current_price,base_score,score,overheat,entry_decision,attack_entry,base_entry,conservative_entry,breakout_entry,stop_price,take_profit_plan,stop_loss_plan,entry_guide,do_not_chase,check_points,stock_description
1,TIGER 미국배당다우존스,,KOSPI/KOSDAQ,ETF · 미국 배당/다우존스,NAVER,15670,87,87,정상,조건 확인 후 진입,15592,15357,14886,16140,14730,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"TIGER 미국배당다우존스은(는) 개별 기업이 아니라 미국 배당/다우존스 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 15670, 실전점수 87, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
2,RISE 200위클리커버드콜,,KOSPI/KOSDAQ,ETF · 커버드콜/인컴,NAVER,14200,75,75,정상,조건 확인 후 진입,14129,13916,13490,14626,13348,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"RISE 200위클리커버드콜은(는) 개별 기업이 아니라 커버드콜/인컴 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 14200, 실전점수 75, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
3,한켐,,KOSPI/KOSDAQ,철강/소재/화학,NAVER,13050,87,71,정상,조건 확인 후 진입,12985,12789,12398,13442,12267,"+5% / +10% / +20%
(60%) / (30%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"한켐은(는) 철강/소재/화학 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 13050, 실전점수 71, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
4,라이콤,,KOSPI/KOSDAQ,반도체/IT부품,NAVER,6750,72,64,정상,조건 확인 후 진입,6716,6615,6412,6952,6345,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"라이콤은(는) 반도체/IT부품 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 6750, 실전점수 64, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
5,TIGER 미국S&P500,,KOSPI/KOSDAQ,ETF · 미국 S&P500,NAVER,28170,63,63,정상,조건 확인 후 진입,28029,27607,26762,29015,26480,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"TIGER 미국S&P500은(는) 개별 기업이 아니라 미국 S&P500 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 28170, 실전점수 63, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
6,KODEX 미국S&P500,,KOSPI/KOSDAQ,ETF · 미국 S&P500,NAVER,25695,62,62,정상,조건 확인 후 진입,25567,25181,24410,26466,24153,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"KODEX 미국S&P500은(는) 개별 기업이 아니라 미국 S&P500 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 25695, 실전점수 62, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
7,KODEX 미국나스닥100,,KOSPI/KOSDAQ,ETF · ETF,NAVER,29585,69,61,정상,조건 확인 후 진입,29437,28993,28106,30473,27810,"+10% / +20% / +30%
(50%) / (30%) / (20%)","-3% / -5% / -10%
(70%) / (20%) / (10%)",,,,"KODEX 미국나스닥100은(는) 개별 기업이 아니라 ETF 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 29585, 실전점수 61, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
8,KODEX 200타겟위클리커버드콜,,KOSPI/KOSDAQ,ETF · 커버드콜/인컴,NAVER,23595,61,61,정상,조건 확인 후 진입,23477,23123,22415,24303,22179,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"KODEX 200타겟위클리커버드콜은(는) 개별 기업이 아니라 커버드콜/인컴 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 23595, 실전점수 61, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
9,TIGER 배당커버드콜액티브,,KOSPI/KOSDAQ,ETF · 커버드콜/인컴,NAVER,23315,58,58,정상,조건 확인 후 진입,23198,22849,22149,24014,21916,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"TIGER 배당커버드콜액티브은(는) 개별 기업이 아니라 커버드콜/인컴 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 23315, 실전점수 58, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
10,SK네트웍스,,KOSPI/KOSDAQ,도매,NAVER,14170,61,53,정상,조건 확인 후 진입,14099,13887,13462,14595,13320,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"SK네트웍스은(는) 도매 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 14170, 실전점수 53, 진입판정은 '조건 확인 후 진입'입니다. 최근 연결 뉴스는 '[서울데이터랩]반도체 대형주 급등 속 거래대금 집중…SK네트웍스·삼화...' 중심이며, 종목명 오매칭 필터를 통과한 기사만 표시합니다."
11,TIGER 미국나스닥100타겟데일리커버드콜,,KOSPI/KOSDAQ,ETF · 커버드콜/인컴,NAVER,11980,59,51,정상,조건 확인 후 진입,11920,11740,11381,12339,11261,"+10% / +20% / +30%
(50%) / (30%) / (20%)","-3% / -5% / -10%
(70%) / (20%) / (10%)",,,,"TIGER 미국나스닥100타겟데일리커버드콜은(는) 개별 기업이 아니라 커버드콜/인컴 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 11980, 실전점수 51, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
12,디아이씨,,KOSPI/KOSDAQ,자동차/부품,NAVER,10110,57,49,정상,조건 확인 후 진입,10059,9908,9604,10413,9503,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"디아이씨은(는) 자동차/부품 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 10110, 실전점수 49, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
13,대원제약,,KOSPI/KOSDAQ,바이오/헬스케어,NAVER,12400,49,49,정상,조건 확인 후 진입,12338,12152,11780,12772,11656,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"대원제약은(는) 바이오/헬스케어 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 12400, 실전점수 49, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
14,LG유플러스,,KOSPI/KOSDAQ,통신/미디어/콘텐츠,NAVER,15720,55,47,정상,조건 확인 후 진입,15641,15406,14934,16192,14777,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",,,,"LG유플러스은(는) 통신/미디어/콘텐츠 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 15720, 실전점수 47, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
15,알트,,KOSPI/KOSDAQ,반도체/IT부품,NAVER,2020,62,46,정상,조건 확인 후 진입,2010,1980,1919,2081,1899,"+5% / +10% / +20%
(60%) / (30%) / (10%)","-3% / -5% / -10%
(70%) / (20%) / (10%)",,,,"알트은(는) 반도체/IT부품 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 2020, 실전점수 46, 진입판정은 '조건 확인 후 진입'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다."
