순위,종목명,시장,섹터/분야,후보출처,현재가,기본점수,실전점수,과열판정,과열사유,진입판정,백테스트신뢰도,익절계획,손절계획,추세,재무,추천투입금액,상세전략가이드,연속추천일수,최근7회추천횟수,반복추천등급,반복추천메모
1,ACE 미국우주테크액티브,KOSPI/KOSDAQ,금융,NAVER,24800,87,87,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,정상,543750,"후보출처 NAVER, 분야 금융, 점수 87점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
2,TIGER 미국배당다우존스,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,15790,83,83,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,518750,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 83점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",6,6,🔥 강한 지속 후보,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
3,라이콤,KOSPI/KOSDAQ,반도체/전자부품,NAVER,6700,72,64,정상,고변동성 ATR 12.8%,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),공격형 통과,정상,450000,"[과열 체크] 고변동성 ATR 12.8%. 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 반도체/전자부품, 점수 72점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
4,KODEX 200미국채혼합,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,23685,59,59,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,368750,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 59점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",5,5,🔥 강한 지속 후보,5회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
5,RISE 200위클리커버드콜,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,14820,59,59,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,368750,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 59점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
6,KODEX 200타겟위클리커버드콜,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,24655,57,57,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,356250,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 57점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",6,6,🔥 강한 지속 후보,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
7,TIGER 미국나스닥100타겟데일리커버드콜,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,12090,64,56,정상,백테스트 거래횟수 부족(3회),조건 확인 후 진입,C,+10% / +20% / +30% (50%) / (30%) / (20%),-3% / -5% / -10% (70%) / (20%) / (10%),안정형 통과,확인필요,400000,"[과열 체크] 백테스트 거래횟수 부족(3회). 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 AI/소프트웨어, 점수 64점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
8,KODEX 미국S&P500,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,25950,56,56,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,350000,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 56점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",6,6,🔥 강한 지속 후보,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
9,미래에셋생명,KOSPI/KOSDAQ,보험,NAVER,19200,71,55,정상,고변동성 ATR 9.6% / 백테스트 거래횟수 부족(4회),조건 확인 후 진입,B,+10% / +20% / +30% (50%) / (30%) / (20%),-3% / -5% / -10% (70%) / (20%) / (10%),공격형 통과,재무주의,443750,"[과열 체크] 고변동성 ATR 9.6% / 백테스트 거래횟수 부족(4회). 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 보험, 점수 71점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",4,4,🔥 강한 지속 후보,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
10,TIGER 배당커버드콜액티브,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,24450,55,55,정상,,조건 확인 후 진입,D,+3% / +5% / +10% (70%) / (20%) / (10%),-2% / -4% / -6% (80%) / (10%) / (10%),안정형 통과,확인필요,343750,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 55점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",6,6,🔥 강한 지속 후보,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
11,LG디스플레이,KOSPI/KOSDAQ,반도체/전자부품,NAVER,14480,59,51,정상,고변동성 ATR 12.2%,조건 확인 후 진입,C,+10% / +20% / +40% (40%) / (30%) / (30%),-3% / -5% / -10% (70%) / (20%) / (10%),안정형 통과,재무주의,368750,"[과열 체크] 고변동성 ATR 12.2%. 추격매수보다 눌림·재돌파 확인 우선. 후보출처 NAVER, 분야 반도체/전자부품, 점수 59점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",6,6,🔥 강한 지속 후보,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
