rank,stock_name,stock_code,score,sector,signal,memo
1,ACE 미국우주테크액티브,,97,금융,606250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
2,KODEX 삼성전자채권혼합,,82,AI/소프트웨어,512499,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근. 오늘 TOP5권이라 우선순위 높음.
3,TIGER 은행고배당플러스TOP10,,79,AI/소프트웨어,493750,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
4,TIGER LG그룹플러스,,85,AI/소프트웨어,531250,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근. 오늘 TOP5권이라 우선순위 높음.
5,KODEX 은행,,77,AI/소프트웨어,481250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
6,라이콤,,80,반도체/전자부품,500000,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
7,KODEX 200타겟위클리커버드콜,,65,AI/소프트웨어,406250,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근.
8,TIGER 배당커버드콜액티브,,64,AI/소프트웨어,400000,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근.
9,SK네트웍스,,69,도매,431250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
10,진양화학,,69,고무/플라스틱,431250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
11,후성,,63,화학,393750,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
12,RISE 200위클리커버드콜,,55,AI/소프트웨어,343750,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
13,KODEX 미국S&P500,,54,AI/소프트웨어,337500,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근.
14,TIGER 미국S&P500,,54,AI/소프트웨어,337500,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근.
15,LG디스플레이,,59,반도체/전자부품,368750,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근.
