stock_name,stock_code,decision,current_price,pnl_pct,stock_description,news_match_note,checked_at
금호타이어,073240,STOP_WATCH,4400.0,-9.56,"금호타이어은(는) 자동차/부품 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 4400.0, 실전점수 , 진입판정은 'STOP_WATCH'입니다. 최근 연결 뉴스는 '금호타이어 주가, 5월 19일 4,840원 2.42% 하락 마감' 중심이며, 종목명 오매칭 필터를 통과한 기사만 표시합니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
대창솔루션,096350,STOP_WATCH,1898.0,-32.21,"대창솔루션은(는) 분야 확인 필요 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 1898.0, 실전점수 , 진입판정은 'STOP_WATCH'입니다. 최근 연결 뉴스는 '5월 6일 주식시장 주요공시' 중심이며, 종목명 오매칭 필터를 통과한 기사만 표시합니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
대한해운,005880,STOP_WATCH,1890.0,-24.97,"대한해운은(는) 분야 확인 필요 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 1890.0, 실전점수 , 진입판정은 'STOP_WATCH'입니다. 최근 연결 뉴스는 '위기 속 빛난 내실 경영…대한해운, 1Q 매출 감소에도 영업익 16% 증가' 중심이며, 종목명 오매칭 필터를 통과한 기사만 표시합니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
에코플라스틱,038110,STOP_WATCH,2220.0,-40.8,"에코플라스틱은(는) 분야 확인 필요 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 2220.0, 실전점수 , 진입판정은 'STOP_WATCH'입니다. 최근 연결 뉴스는 '에코플라스틱, 자회사 ECOPLASTIC AMERICA 채무보증 결정' 중심이며, 종목명 오매칭 필터를 통과한 기사만 표시합니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
태림포장,011280,STOP_WATCH,1825.0,-13.1,"태림포장은(는) 분야 확인 필요 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 1825.0, 실전점수 , 진입판정은 'STOP_WATCH'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
태웅,044490,STOP_WATCH,29200.0,-27.9,"태웅은(는) 분야 확인 필요 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 29200.0, 실전점수 , 진입판정은 'STOP_WATCH'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
HANARO K휴머노이드테마TOP10,0155N0,STOP_WATCH,9890.0,-10.09,"HANARO K휴머노이드테마TOP10은(는) 개별 기업이 아니라 ETF 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 9890.0, 실전점수 , 진입판정은 'STOP_WATCH'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
LG유플러스,032640,HOLD,15720.0,2.08,"LG유플러스은(는) 분야 확인 필요 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 15720.0, 실전점수 , 진입판정은 'HOLD'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
TIGER K방산&우주,463250,STOP_WATCH,35770.0,-19.62,"TIGER K방산&우주은(는) 개별 기업이 아니라 ETF 테마의 ETF입니다. 주요 확인 포인트는 추종 지수, 구성 종목, 환율 영향, 분배금/커버드콜 여부입니다. 현재가 35770.0, 실전점수 , 진입판정은 'STOP_WATCH'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
컴퍼니케이,307930,STOP_WATCH,7950.0,-13.11,"컴퍼니케이은(는) 분야 확인 필요 흐름과 연결해서 볼 수 있는 종목입니다. 주요 확인 포인트는 최근 실적, 수급, 공시, 업종 모멘텀입니다. 현재가 7950.0, 실전점수 , 진입판정은 'STOP_WATCH'입니다. 연결 뉴스가 부족하면 뉴스보다 가격 위치, 거래량, 재등장 여부를 우선 확인하는 편이 좋습니다.",strict_name_filter_applied,2026-06-09 03:49:07 KST
