rank,stock_name,stock_code,market,sector,source,current_price,base_score,score,overheat,entry_decision,backtest_confidence,take_profit_plan,stop_loss_plan,trend,entry_guide,do_not_chase,check_points,stock_description
1,TIGER 미국배당다우존스,,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,15670,87,87,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,,,,"TIGER 미국배당다우존스은(는) 기존 엑셀 리포트의 AI/소프트웨어 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
2,RISE 200위클리커버드콜,,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,14200,75,75,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,,,,"RISE 200위클리커버드콜은(는) 기존 엑셀 리포트의 AI/소프트웨어 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
3,한켐,,KOSPI/KOSDAQ,화학,NAVER,13050,87,71,정상,조건 확인 후 진입,B,"+5% / +10% / +20%
(60%) / (30%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,,,,"한켐은(는) 기존 엑셀 리포트의 화학 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
4,라이콤,,KOSPI/KOSDAQ,반도체/전자부품,NAVER,6750,72,64,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",공격형 통과,,,,"라이콤은(는) 기존 엑셀 리포트의 반도체/전자부품 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
5,TIGER 미국S&P500,,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,28170,63,63,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,,,,"TIGER 미국S&P500은(는) 기존 엑셀 리포트의 AI/소프트웨어 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
6,KODEX 미국S&P500,,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,25695,62,62,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,,,,"KODEX 미국S&P500은(는) 기존 엑셀 리포트의 AI/소프트웨어 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
7,KODEX 미국나스닥100,,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,29585,69,61,정상,조건 확인 후 진입,C,"+10% / +20% / +30%
(50%) / (30%) / (20%)","-3% / -5% / -10%
(70%) / (20%) / (10%)",안정형 통과,,,,"KODEX 미국나스닥100은(는) 기존 엑셀 리포트의 AI/소프트웨어 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
8,KODEX 200타겟위클리커버드콜,,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,23595,61,61,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,,,,"KODEX 200타겟위클리커버드콜은(는) 기존 엑셀 리포트의 AI/소프트웨어 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
9,TIGER 배당커버드콜액티브,,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,23315,58,58,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,,,,"TIGER 배당커버드콜액티브은(는) 기존 엑셀 리포트의 AI/소프트웨어 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
10,SK네트웍스,,KOSPI/KOSDAQ,도매,NAVER,14170,61,53,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,,,,"SK네트웍스은(는) 기존 엑셀 리포트의 도매 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
11,TIGER 미국나스닥100타겟데일리커버드콜,,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,11980,59,51,정상,조건 확인 후 진입,C,"+10% / +20% / +30%
(50%) / (30%) / (20%)","-3% / -5% / -10%
(70%) / (20%) / (10%)",안정형 통과,,,,"TIGER 미국나스닥100타겟데일리커버드콜은(는) 기존 엑셀 리포트의 AI/소프트웨어 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
12,디아이씨,,KOSPI/KOSDAQ,자동차/부품,NAVER,10110,57,49,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,,,,"디아이씨은(는) 기존 엑셀 리포트의 자동차/부품 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
13,대원제약,,KOSPI/KOSDAQ,제약/바이오,NAVER,12400,49,49,정상,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",공격형 통과,,,,"대원제약은(는) 기존 엑셀 리포트의 제약/바이오 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
14,LG유플러스,,KOSPI/KOSDAQ,통신,NAVER,15720,55,47,정상,조건 확인 후 진입,C,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",제외,,,,"LG유플러스은(는) 기존 엑셀 리포트의 통신 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
15,알트,,KOSPI/KOSDAQ,반도체/전자부품,NAVER,2020,62,46,정상,조건 확인 후 진입,D,"+5% / +10% / +20%
(60%) / (30%) / (10%)","-3% / -5% / -10%
(70%) / (20%) / (10%)",확인필요,,,,"알트은(는) 기존 엑셀 리포트의 반도체/전자부품 후보입니다. 후보출처는 NAVER이며, 실전점수·진입판정·익절/손절계획은 엑셀 계산값을 그대로 사용합니다."
