rank,stock_name,stock_code,sector,score,current_price,priority,entry_action,entry_guide,take_profit_guide,stop_loss_guide,do_not_chase,check_points
1,컴퍼니케이,,금융,99,"9,530",A: 우선 감시,정상,"9,339~9,578원 구간에서 거래량/지지 확인 후 분할 진입","1차 10,006원(+5%), 2차 10,292원(+8%) 부근 분할 익절 검토","9,149원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
2,RISE AI&로봇,,AI/소프트웨어,89,"16,635",B: 조건부 감시,정상,"16,302~16,718원 구간에서 거래량/지지 확인 후 분할 진입","1차 17,467원(+5%), 2차 17,966원(+8%) 부근 분할 익절 검토","15,970원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
3,TIGER LG그룹플러스,,AI/소프트웨어,85,"15,800",B: 조건부 감시,정상,"15,484~15,879원 구간에서 거래량/지지 확인 후 분할 진입","1차 16,590원(+5%), 2차 17,064원(+8%) 부근 분할 익절 검토","15,168원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
4,샘씨엔에스,,반도체/전자부품,76,"13,850",C: 관찰,정상,"13,573~13,919원 구간에서 거래량/지지 확인 후 분할 진입","1차 14,542원(+5%), 2차 14,958원(+8%) 부근 분할 익절 검토","13,296원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
5,TIGER 2차전지TOP10,,AI/소프트웨어,68,"12,325",C: 관찰,정상,"12,078~12,387원 구간에서 거래량/지지 확인 후 분할 진입","1차 12,941원(+5%), 2차 13,311원(+8%) 부근 분할 익절 검토","11,832원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
6,SOL 반도체전공정,,반도체,75,"26,470",C: 관찰,정상,"25,941~26,602원 구간에서 거래량/지지 확인 후 분할 진입","1차 27,794원(+5%), 2차 28,588원(+8%) 부근 분할 익절 검토","25,411원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
7,KODEX 2차전지산업,,AI/소프트웨어,67,"18,830",C: 관찰,정상,"18,453~18,924원 구간에서 거래량/지지 확인 후 분할 진입","1차 19,772원(+5%), 2차 20,336원(+8%) 부근 분할 익절 검토","18,077원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
8,LG헬로비전,,미디어/콘텐츠,78,"2,740",C: 관찰,정상,"2,685~2,754원 구간에서 거래량/지지 확인 후 분할 진입","1차 2,877원(+5%), 2차 2,959원(+8%) 부근 분할 익절 검토","2,630원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
9,LG디스플레이,,반도체/전자부품,69,"16,120",C: 관찰,정상,"15,798~16,201원 구간에서 거래량/지지 확인 후 분할 진입","1차 16,926원(+5%), 2차 17,410원(+8%) 부근 분할 익절 검토","15,475원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
10,KODEX 미국S&P500,,AI/소프트웨어,59,"26,065",C: 관찰,정상,"25,544~26,195원 구간에서 거래량/지지 확인 후 분할 진입","1차 27,368원(+5%), 2차 28,150원(+8%) 부근 분할 익절 검토","25,022원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
11,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,59,"27,310",C: 관찰,정상,"26,764~27,447원 구간에서 거래량/지지 확인 후 분할 진입","1차 28,676원(+5%), 2차 29,495원(+8%) 부근 분할 익절 검토","26,218원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
12,TIGER 미국S&P500,,AI/소프트웨어,57,"28,600",C: 관찰,정상,"28,028~28,743원 구간에서 거래량/지지 확인 후 분할 진입","1차 30,030원(+5%), 2차 30,888원(+8%) 부근 분할 익절 검토","27,456원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
13,TIGER 배당커버드콜액티브,,AI/소프트웨어,57,"26,950",C: 관찰,정상,"26,411~27,085원 구간에서 거래량/지지 확인 후 분할 진입","1차 28,298원(+5%), 2차 29,106원(+8%) 부근 분할 익절 검토","25,872원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
14,원텍,,의료기기/정밀기기,71,"8,490",C: 관찰,정상,"8,320~8,532원 구간에서 거래량/지지 확인 후 분할 진입","1차 8,914원(+5%), 2차 9,169원(+8%) 부근 분할 익절 검토","8,150원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
15,SK네트웍스,,도매,52,"13,010",C: 관찰,정상,"12,750~13,075원 구간에서 거래량/지지 확인 후 분할 진입","1차 13,660원(+5%), 2차 14,051원(+8%) 부근 분할 익절 검토","12,490원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
