주목등급,종목명,종목코드,표시분야,오늘순위,오늘점수,연속추천일수,최근7회추천횟수,최근등장일,평균순위,최고순위,최근등장흐름,후보출처,판정,메모
🔥 강한 지속 후보,ACE 미국우주테크액티브,,금융,1,87,4,4,"20260605, 20260606, 20260607, 20260608",1.2,1,0608 #3 → 0608 #3 → 0608 #3 → 0608 #3 → 0608 #3,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
🔥 강한 지속 후보,TIGER 미국배당다우존스,,AI/소프트웨어,2,83,6,6,"20260604, 20260605, 20260606, 20260607, 20260608",7.2,2,0608 #12 → 0608 #12 → 0608 #12 → 0608 #12 → 0608 #12,NAVER,조건 확인 후 진입,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
🔥 강한 지속 후보,라이콤,,반도체/전자부품,3,72,4,4,"20260605, 20260606, 20260607, 20260608",5.7,3,0608 #6 → 0608 #6 → 0608 #6 → 0608 #6 → 0608 #6,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
🔥 강한 지속 후보,KODEX 200미국채혼합,,AI/소프트웨어,4,59,5,5,"20260604, 20260605, 20260606, 20260607, 20260608",8.5,4,0608 #7 → 0608 #7 → 0608 #7 → 0608 #7 → 0608 #10,NAVER,조건 확인 후 진입,5회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
🔥 강한 지속 후보,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,6,57,6,6,"20260604, 20260605, 20260606, 20260607, 20260608",6.1,2,0608 #11 → 0608 #11 → 0608 #11 → 0608 #12 → 0608 #12,NAVER,조건 확인 후 진입,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
🔥 강한 지속 후보,KODEX 미국S&P500,,AI/소프트웨어,8,56,6,6,"20260604, 20260605, 20260606, 20260607, 20260608",12.4,8,0608 #13 → 0608 #13 → 0608 #13 → 0608 #13 → 0608 #13,NAVER,조건 확인 후 진입,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
🔥 강한 지속 후보,미래에셋생명,,보험,9,71,4,4,"20260605, 20260606, 20260607, 20260608",9.8,8,0608 #10 → 0608 #10 → 0608 #10 → 0608 #10 → 0608 #10,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
🔥 강한 지속 후보,TIGER 배당커버드콜액티브,,AI/소프트웨어,10,55,6,6,"20260604, 20260605, 20260606, 20260607, 20260608",10.5,8,0608 #15 → 0608 #15 → 0608 #15 → 0608 #15 → 0608 #15,NAVER,조건 확인 후 진입,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
🔥 강한 지속 후보,LG디스플레이,,반도체/전자부품,11,59,6,6,"20260604, 20260605, 20260606, 20260607, 20260608",9.1,6,0608 #7 → 0608 #10 → 0608 #10 → 0608 #11 → 0608 #14,NAVER,조건 확인 후 진입,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
🔥 강한 지속 후보,SK네트웍스,,도매,12,55,4,4,"20260605, 20260606, 20260607, 20260608",8.8,7,0608 #9 → 0608 #9 → 0608 #9 → 0608 #9 → 0608 #12,NAVER,조건 확인 후 진입,4회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
신규/단발 후보,RISE 200위클리커버드콜,,AI/소프트웨어,5,59,1,1,20260608,5.9,5,0608 #6 → 0608 #6 → 0608 #6 → 0608 #6 → 0608 #6,NAVER,조건 확인 후 진입,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
신규/단발 후보,TIGER 미국나스닥100타겟데일리커버드콜,,AI/소프트웨어,7,64,1,1,20260608,9.7,7,0608 #10 → 0608 #10 → 0608 #10 → 0608 #10 → 0608 #10,NAVER,조건 확인 후 진입,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
신규/단발 후보,한켐,,화학,13,62,1,1,20260608,13.0,13,0608 #13,NAVER,조건 확인 후 진입,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
신규/단발 후보,알트,,반도체/전자부품,14,62,1,1,20260608,14.0,14,0608 #14,NAVER,조건 확인 후 진입,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
신규/단발 후보,KODEX 은행,,AI/소프트웨어,15,54,1,1,20260608,15.0,15,0608 #15,NAVER,조건 확인 후 진입,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
