rank,stock_name,stock_code,score,sector,signal,memo
1,ACE 미국우주테크액티브,,97,금융,606250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
2,KODEX 200타겟위클리커버드콜,,83,AI/소프트웨어,518750,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근. 오늘 TOP5권이라 우선순위 높음.
3,KODEX 삼성전자채권혼합,,83,AI/소프트웨어,518750,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근. 오늘 TOP5권이라 우선순위 높음.
4,TIGER 은행고배당플러스TOP10,,81,AI/소프트웨어,506250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
5,TIGER LG그룹플러스,,86,AI/소프트웨어,537500,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근. 오늘 TOP5권이라 우선순위 높음.
6,1Q K반도체TOP2+,,70,반도체/전자부품,437500,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
7,SK네트웍스,,69,도매,431250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
8,진양화학,,69,고무/플라스틱,431250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
9,M83,,66,미디어/콘텐츠,412500,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
10,후성,,65,화학,406250,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
11,TIGER 배당커버드콜액티브,,57,AI/소프트웨어,356250,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근.
12,KODEX 미국S&P500,,54,AI/소프트웨어,337500,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근.
13,TIGER 미국S&P500,,54,AI/소프트웨어,337500,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근.
14,LG디스플레이,,59,반도체/전자부품,368750,3회 연속 추천. 신규 진입보다 눌림/조건 확인 후 접근.
15,SOL AI반도체소부장,,50,반도체,312500,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
