순위,종목명,시장,섹터/분야,후보출처,현재가,기본점수,실전점수,과열판정,과열사유,진입판정,백테스트신뢰도,익절계획,손절계획,추세,재무,추천투입금액,상세전략가이드,연속추천일수,최근7회추천횟수,반복추천등급,반복추천메모
1,대원강업,KOSPI/KOSDAQ,자동차/부품,NAVER,5130,90,90,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,재무주의,225000,"후보출처 NAVER, 분야 자동차/부품, 점수 90점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
2,TIGER 미국배당다우존스,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,15570,87,87,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,확인필요,217500,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 87점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",7,7,🔥 강한 지속 후보,7회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
3,후성,KOSPI/KOSDAQ,화학,NAVER,13370,89,81,정상,고변동성 ATR 9.0%,조건 확인 후 진입,B,"+5% / +10% / +30%
(60%) / (30%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,정상,222500,"[과열 체크] 고변동성 ATR 9.0%. 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 화학, 점수 89점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",5,5,🔥 강한 지속 후보,5회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
4,화신정공,KOSPI/KOSDAQ,자동차/부품,NAVER,3410,81,81,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,정상,202500,"후보출처 NAVER, 분야 자동차/부품, 점수 81점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
5,LG헬로비전,KOSPI/KOSDAQ,미디어/콘텐츠,NAVER,2355,92,76,정상,고변동성 ATR 11.5% / 백테스트 거래횟수 부족(2회),조건 확인 후 진입,C,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,정상,230000,"[과열 체크] 고변동성 ATR 11.5% / 백테스트 거래횟수 부족(2회). 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 미디어/콘텐츠, 점수 92점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",7,7,🔥 강한 지속 후보,7회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰. 오늘 TOP5권이라 우선순위 높음.
6,KODEX 은행,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,15260,83,75,정상,백테스트 거래횟수 부족(2회),조건 확인 후 진입,C,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",공격형 통과,확인필요,207500,"[과열 체크] 백테스트 거래횟수 부족(2회). 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 AI/소프트웨어, 점수 83점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
7,ACE 미국우주테크액티브,KOSPI/KOSDAQ,금융,NAVER,25650,69,69,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,정상,172500,"후보출처 NAVER, 분야 금융, 점수 69점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",5,5,🔥 강한 지속 후보,5회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
8,SK네트웍스,KOSPI/KOSDAQ,도매,NAVER,13370,76,68,정상,고변동성 ATR 14.4%,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,정상,190000,"[과열 체크] 고변동성 ATR 14.4%. 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 도매, 점수 76점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",5,5,🔥 강한 지속 후보,5회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
9,태양금속,KOSPI/KOSDAQ,자동차/부품,NAVER,3065,76,68,정상,고변동성 ATR 10.6%,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",공격형 통과,재무주의,190000,"[과열 체크] 고변동성 ATR 10.6%. 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 자동차/부품, 점수 76점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",1,1,신규/단발 후보,오늘 처음 또는 단발성 등장. 과열/뉴스 확인 우선.
10,라이콤,KOSPI/KOSDAQ,반도체/전자부품,NAVER,7840,74,66,정상,고변동성 ATR 11.7%,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",공격형 통과,정상,185000,"[과열 체크] 고변동성 ATR 11.7%. 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 반도체/전자부품, 점수 74점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",5,5,🔥 강한 지속 후보,5회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
11,KODEX 미국S&P500,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,25490,66,66,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,확인필요,165000,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 66점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",7,7,🔥 강한 지속 후보,7회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
12,TIGER 미국S&P500,KOSPI/KOSDAQ,AI/소프트웨어,NAVER,27950,66,66,정상,,조건 확인 후 진입,D,"+3% / +5% / +10%
(70%) / (20%) / (10%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,확인필요,165000,"후보출처 NAVER, 분야 AI/소프트웨어, 점수 66점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",7,7,🔥 강한 지속 후보,7회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
13,샘씨엔에스,KOSPI/KOSDAQ,반도체/전자부품,NAVER,13550,71,63,정상,고변동성 ATR 11.2%,조건 확인 후 진입,B,"+10% / +20% / +40%
(40%) / (30%) / (30%)","-2% / -4% / -6%
(80%) / (10%) / (10%)",안정형 통과,정상,177500,"[과열 체크] 고변동성 ATR 11.2%. 추격매수보다 눌림·재돌파 확인 우선.
후보출처 NAVER, 분야 반도체/전자부품, 점수 71점, 과열판정 정상. 추세/재무/백테스트를 함께 확인 후 진입.",6,6,🔥 강한 지속 후보,6회 연속 추천. 수급/추세가 계속 유지되는지 우선 관찰.
